,3
FileName,CAESAR_ALM_3.xml
Header_COMMENT,EVENT_ID:CA-24001A-90094A-202312021836
Header_CREATION_DATE,2023-11-25 18:34:17.945000
Header_ORIGINATOR,CAESAR
Header_MESSAGE_FOR,SAT_1
Header_MESSAGE_ID,ALM_GEO_16139104
Metadata_TCA,2023-12-02 18:37:14.807000
Metadata_MISS_DISTANCE,4879.397776383366
Metadata_RELATIVE_SPEED,725.2582288296398
Metadata_relativeStateVector_RELATIVE_POSITION_R,687.159093051933
Metadata_relativeStateVector_RELATIVE_POSITION_T,4796.681688661105
Metadata_relativeStateVector_RELATIVE_POSITION_N,572.8698095328781
Metadata_relativeStateVector_RELATIVE_VELOCITY_R,-0.5115660093072114
Metadata_relativeStateVector_RELATIVE_VELOCITY_T,-85.9255763613924
Metadata_relativeStateVector_RELATIVE_VELOCITY_N,720.1500066738088
Metadata_START_SCREEN_PERIOD,2023-11-25T16:26:03.703
Metadata_STOP_SCREEN_PERIOD,2023-12-09T16:26:03.703
Metadata_SCREEN_VOLUME_FRAME,RTN
Metadata_SCREEN_VOLUME_SHAPE,ELLIPSOID
Metadata_SCREEN_VOLUME_X,50000.0
Metadata_SCREEN_VOLUME_Y,50000.0
Metadata_SCREEN_VOLUME_Z,50000.0
Metadata_SCREEN_ENTRY_TIME,2023-12-02T18:36:06.194
Metadata_SCREEN_EXIT_TIME,2023-12-02T18:38:23.419
Object1_OBJECT,OBJECT1
Object1_OBJECT_DESIGNATOR,1
Object1_CATALOG_NAME,SATCAT
Object1_OBJECT_NAME,SAT_1
Object1_INTERNATIONAL_DESIGNATOR,2024-001A
Object1_OBJECT_TYPE,UNKNOWN
Object1_EPHEMERIS_NAME,2024-001A_SAT_1_OPER_20231124T150500_S20231124T150000_E20231227T120000.jspoc
Object1_COVARIANCE_METHOD,CALCULATED
Object1_MANEUVERABLE,YES
Object1_REF_FRAME,ITRF
Object2_OBJECT,OBJECT2
Object2_OBJECT_DESIGNATOR,20923
Object2_CATALOG_NAME,SATCAT
Object2_OBJECT_NAME,GORIZONT 21
Object2_INTERNATIONAL_DESIGNATOR,1990-094A
Object2_OBJECT_TYPE,UNKNOWN
Object2_EPHEMERIS_NAME,almLe20231125_104640Au20231125_070111
Object2_COVARIANCE_METHOD,CALCULATED
Object2_MANEUVERABLE,NO
Object2_REF_FRAME,ITRF
Object2_GRAVITY_MODEL,EIGEN GL04S: 24D 24O
Object2_ATMOSPHERIC_MODEL,NONE
Object2_N_BODY_PERTURBATIONS,"MOON,SUN"
Object2_SOLAR_RAD_PRESSURE,YES
Object2_EARTH_TIDES,NO
Covariance_CR_R,1317.6900000000066
Covariance_CT_R,4.8430426335954735e-12
Covariance_CT_T,227528.4559428676
Covariance_CN_R,-7.105427357601002e-15
Covariance_CN_T,3.5527136788005016e-14
Covariance_CN_N,45329.99654363148
Covariance_CRDOT_R,1.4546960776804301e-15
Covariance_CRDOT_T,-16.58040508693215
Covariance_CRDOT_N,-3.469446951953614e-18
Covariance_CRDOT_RDOT,0.001208243741239
Covariance_CTDOT_R,0.0960224244851624
Covariance_CTDOT_T,-1.6064445051054306e-16
Covariance_CTDOT_N,-3.8624702394796095e-19
Covariance_CTDOT_RDOT,-5.514805065955366e-21
Covariance_CTDOT_TDOT,6.99732562591256e-06
Covariance_CNDOT_R,-1.5205459084810618e-19
Covariance_CNDOT_T,-9.57743960859423e-19
Covariance_CNDOT_N,1.1779206887545984e-21
Covariance_CNDOT_RDOT,1.0893325629753704e-22
Covariance_CNDOT_TDOT,6.67720981593075e-24
Covariance_CNDOT_NDOT,-1.2689160764770783e-26
Covariance_CDRG_R,0.0
Covariance_CDRG_T,0.0
Covariance_CDRG_N,0.0
Covariance_CDRG_RDOT,0.0
Covariance_CDRG_TDOT,0.0
Covariance_CDRG_NDOT,0.0
Covariance_CDRG_DRG,0.0
Covariance_CSRP_R,0.0
Covariance_CSRP_T,0.0
Covariance_CSRP_N,0.0
Covariance_CSRP_RDOT,0.0
Covariance_CSRP_TDOT,0.0
Covariance_CSRP_NDOT,0.0
Covariance_CSRP_DRG,0.0
Covariance_CSRP_SRP,0.0
MissDistance_z,0.3370913440130467
RelativeSpeed_z,-1.2019117439186622
Norm_MissDistance,0.8320442005722527
Norm_RelativeSpeed,0.0
Norm_CreationDate,0.32133437881033733
Reliability_Score,0.3970845559909686
