,0
FileName,CAESAR_TRJ_1.xml
Header_COMMENT,EVENT_ID:CA-24001A-90094A-202312021836
Header_CREATION_DATE,2023-11-24 04:32:15.493000
Header_ORIGINATOR,CAESAR
Header_MESSAGE_FOR,SAT_1
Header_MESSAGE_ID,TRJ18785769
Metadata_TCA,2023-12-02 18:37:14.939000
Metadata_MISS_DISTANCE,3827.732234300821
Metadata_RELATIVE_SPEED,725.2689615534887
Metadata_relativeStateVector_RELATIVE_POSITION_R,440.4682248768708
Metadata_relativeStateVector_RELATIVE_POSITION_T,3775.523952573105
Metadata_relativeStateVector_RELATIVE_POSITION_N,450.48938270078656
Metadata_relativeStateVector_RELATIVE_VELOCITY_R,-0.5101181838448404
Metadata_relativeStateVector_RELATIVE_VELOCITY_T,-85.89226798226547
Metadata_relativeStateVector_RELATIVE_VELOCITY_N,720.1647899426749
Metadata_START_SCREEN_PERIOD,2023-11-24T00:09:00.000
Metadata_STOP_SCREEN_PERIOD,2023-12-08T00:09:00.000
Metadata_SCREEN_VOLUME_FRAME,RTN
Metadata_SCREEN_VOLUME_SHAPE,BOX
Metadata_SCREEN_VOLUME_X,24000.0
Metadata_SCREEN_VOLUME_Y,436800.0
Metadata_SCREEN_VOLUME_Z,36000.0
Metadata_SCREEN_ENTRY_TIME,2023-12-02T18:36:15.009
Metadata_SCREEN_EXIT_TIME,2023-12-02T18:38:15.008
Object1_OBJECT,OBJECT1
Object1_OBJECT_DESIGNATOR,1
Object1_CATALOG_NAME,SATCAT
Object1_OBJECT_NAME,SAT_1
Object1_INTERNATIONAL_DESIGNATOR,2024-001A
Object1_OBJECT_TYPE,UNKNOWN
Object1_EPHEMERIS_NAME,2024-001A_SAT_1_OPER_20231123T150500_S20231123T150000_E20231227T120000.jspoc
Object1_COVARIANCE_METHOD,CALCULATED
Object1_MANEUVERABLE,YES
Object1_REF_FRAME,ITRF
Object2_OBJECT,OBJECT2
Object2_OBJECT_DESIGNATOR,20923
Object2_CATALOG_NAME,SATCAT
Object2_OBJECT_NAME,GORIZONT 21
Object2_INTERNATIONAL_DESIGNATOR,1990-094A
Object2_OBJECT_TYPE,UNKNOWN
Object2_EPHEMERIS_NAME,NONE
Object2_COVARIANCE_METHOD,CALCULATED
Object2_MANEUVERABLE,NO
Object2_REF_FRAME,ITRF
Object2_GRAVITY_MODEL,EIGEN GL04S: 8D 8O
Object2_ATMOSPHERIC_MODEL,NONE
Object2_N_BODY_PERTURBATIONS,"MOON,SUN"
Object2_SOLAR_RAD_PRESSURE,YES
Object2_EARTH_TIDES,NO
Covariance_CR_R,1320.750791238833
Covariance_CT_R,-1.0941164640954072e-11
Covariance_CT_T,258044.64115302992
Covariance_CN_R,-2.842170943040401e-14
Covariance_CN_T,1.1368683772161605e-13
Covariance_CN_N,51719.4564974454
Covariance_CRDOT_R,-1.441616194908929e-16
Covariance_CRDOT_T,-18.804173788278188
Covariance_CRDOT_N,-3.469446951953614e-18
Covariance_CRDOT_RDOT,0.0013702937223566
Covariance_CTDOT_R,0.0962454686076289
Covariance_CTDOT_T,-3.6407712769366166e-17
Covariance_CTDOT_N,-5.827586677109586e-19
Covariance_CTDOT_RDOT,1.0531709118582324e-19
Covariance_CTDOT_TDOT,7.013579161904965e-06
Covariance_CNDOT_R,0.0
Covariance_CNDOT_T,0.0
Covariance_CNDOT_N,0.0
Covariance_CNDOT_RDOT,9.297588573680468e-23
Covariance_CNDOT_TDOT,5.715348188496089e-23
Covariance_CNDOT_NDOT,-3.356550365276811e-26
Covariance_CDRG_R,0.0
Covariance_CDRG_T,0.0
Covariance_CDRG_N,0.0
Covariance_CDRG_RDOT,0.0
Covariance_CDRG_TDOT,0.0
Covariance_CDRG_NDOT,0.0
Covariance_CDRG_DRG,0.0
Covariance_CSRP_R,0.0
Covariance_CSRP_T,0.0
Covariance_CSRP_N,0.0
Covariance_CSRP_RDOT,0.0
Covariance_CSRP_TDOT,0.0
Covariance_CSRP_NDOT,0.0
Covariance_CSRP_DRG,0.0
Covariance_CSRP_SRP,0.0
MissDistance_z,-1.6194987128364329
RelativeSpeed_z,-1.4393127210569543
Norm_MissDistance,0.0006623505741197564
Norm_RelativeSpeed,0.0
Norm_CreationDate,0.0
Reliability_Score,0.0002649402296479026
